(Amsterdam,28.343333333333334,46.85,66.93,6.7,32.38,59.18)
(Antwerp,29.494285714285716,47.4,66.93,4.68,27.880000000000003,50.18)
(Asheville,27.38809523809524,40.0,54.0,2.0,36.099999999999994,67.19999999999999)
(Athens,26.42809523809524,38.25,52.0,3.5,20.48,37.580000000000005)
(Austin,27.785238095238096,42.0,59.1,2.5,19.34,36.14)
(Barcelona,23.543333333333337,38.050000000000004,49.650000000000006,4.8,15.39,27.99)
(Barossa Valley,25.71904761904762,39.410000000000004,51.375,5.64,15.940000000000001,29.14)
(Barwon South West,26.136666666666667,40.12,58.16,3.52,16.95,30.45)
(Beijing,16.396666666666665,16.07,23.78,1.18,5.33,8.73)
(Bergamo,29.05190476190476,47.97,62.745000000000005,2.9,18.880000000000003,32.18)
(Berlin,25.2447619047619,30.669999999999998,41.275000000000006,6.24,26.65,48.95)
(Bologna,29.17952380952381,47.69,61.35,2.94,20.08,34.58)
(Bordeaux,31.626190476190473,44.38,51.075,3.58,23.740000000000002,41.34)
(Boston,32.402857142857144,44.0,62.0,4.9,25.000000000000004,47.400000000000006)
(Bristol,25.363809523809522,51.62,71.055,6.46,27.98,52.080000000000005)
(Brussels,28.472380952380952,46.74,66.93,4.68,23.950000000000003,44.550000000000004)
(Cambridge,26.35095238095238,51.68,71.055,7.24,18.93,33.730000000000004)
(Cape Town,14.332857142857144,24.68,35.465,2.08,8.04,15.04)
(Chicago,28.317619047619047,42.0,62.5,5.0,17.25,31.25)
(Clark County,27.61904761904762,42.5,55.0,4.0,21.1,38.7)
(Columbus,26.88,37.5,48.5,4.0,20.8,38.6)
(Copenhagen,36.75047619047619,54.06,80.635,7.16,29.169999999999998,52.37)
(Denver,28.249523809523808,41.99,60.0,5.76,16.6,30.6)
(Dublin,40.38142857142857,74.19,105.985,7.36,27.32,49.620000000000005)
(Edinburgh,23.23238095238095,46.52,72.015,4.4,21.279999999999998,38.68)
(Euskadi,22.87333333333333,32.92,43.24,3.34,14.74,25.240000000000002)
(Florence,29.597619047619048,49.089999999999996,68.05,3.34,39.08,72.58)
(Geneva,45.742380952380955,67.65,96.08500000000001,5.88,45.57,84.77000000000001)
(Ghent,28.36,44.629999999999995,64.71,6.7,33.7,58.2)
(Girona,21.87904761904762,32.36,44.635000000000005,3.24,15.39,27.99)
(Greater Manchester,23.025238095238095,42.63,63.295,7.76,22.63,42.029999999999994)
(Hawaii,31.682857142857145,35.0,54.0,4.0,18.15,33.05)
(Hong Kong,22.804285714285715,23.57,38.235,2.54,13.860000000000001,24.66)
(Istanbul,11.249047619047618,14.319999999999999,16.84,0.9,4.87,9.07)
(Lisbon,20.045714285714286,29.0,39.605,3.34,8.83,14.030000000000001)
(London,27.345238095238095,52.97,71.055,6.46,45.26,84.05999999999999)
(Los Angeles,30.31714285714286,43.5,65.0,3.5,19.8,36.6)
(Lyon,30.787142857142857,42.4,54.67,4.24,26.68,47.779999999999994)
(Madrid,23.33904761904762,35.699999999999996,46.855000000000004,3.34,14.66,26.36)
(Malaga,22.15809523809524,30.119999999999997,36.815,2.9,15.6,27.299999999999997)
(Manchester,23.025238095238095,42.63,63.295,7.76,22.63,42.029999999999994)
(Melbourne,28.226666666666667,35.89,51.82,6.06,16.15,28.849999999999998)
(Milan,29.619523809523812,47.97,66.93,3.34,17.78,29.979999999999997)
